Number of detected cells: 72018
cell postions (xy):

9	1037
10	773
10	786
10	801
10	809
10	822
10	832
10	848
10	859
10	875
10	885
10	896
10	912
10	923
10	931
10	944
10	956
10	962
10	969
10	978
10	985
10	991
10	1006
10	1016
68	2441
75	2438
91	2418
96	2413
96	2423
103	2414
103	2419
113	2420
116	2411
119	2417
124	2419
125	2406
131	1767
132	2419
134	2432
135	2192
135	2204
136	2185
140	2395
140	2426
141	2163
141	2403
141	2456
145	2160
145	2418
147	2154
147	2223
147	2430
147	2460
149	2235
149	2258
149	2408
151	2147
151	2244
152	2160
152	2266
152	2422
152	2444
152	2454
153	2151
154	2120
154	2272
154	2432
156	2517
158	1463
158	2140
158	2278
158	2441
158	2460
159	2102
159	2510
161	2128
161	2191
161	2235
161	2435
161	2476
162	2096
162	2117
162	2554
163	2228
163	2290
163	2452
163	2516
164	2110
164	2239
164	2271
164	2282
164	2486
165	2103
165	2215
165	2457
166	2560
167	2084
167	2173
167	2206
167	2300
167	2444
168	2185
168	2245
168	2450
168	2473
168	2545
169	2096
169	2196
169	2226
169	2290
169	2467
170	2264
170	2295
170	2485
171	2208
171	2457
171	2538
172	2133
172	2166
172	2502
172	2529
172	2566
174	2159
174	2179
174	2285
174	2301
174	2449
174	2477
174	2510
175	2042
175	2086
175	2093
175	2249
176	2272
176	2471
176	2495
176	2552
177	2049
177	2073
177	2152
177	2215
177	2223
177	2259
177	2485
177	2541
178	2197
178	2203
178	2266
178	2294
178	2351
179	2287
179	2462
180	1535
180	2164
180	2281
180	2451
180	2508
180	2556
181	1373
181	2132
181	2156
181	2499
181	2517
181	2533
182	1394
182	2145
182	2492
182	2548
183	1268
183	1366
183	1379
183	1389
183	2045
183	2070
183	2467
184	1311
184	1346
184	1451
184	2057
184	2190
184	2225
184	2232
184	2240
184	2343
184	2351
185	1340
185	2065
185	2116
185	2192
185	2263
185	2295
185	2568
186	1406
186	1427
186	2123
186	2167
186	2283
186	2288
187	1398
187	2128
187	2138
187	2208
187	2250
187	2398
188	1263
188	1483
188	2150
188	2273
188	2437
188	2558
189	1440
189	2109
189	2365
189	2576
189	2590
190	2059
190	2103
190	2192
190	2302
190	2322
190	2500
191	2085
191	2221
191	2525
192	2341
192	2349
192	2429
192	2532
192	2564
193	2125
193	2166
193	2259
193	2267
193	2296
193	2514
194	2092
194	2155
194	2314
195	2049
195	2097
195	2117
195	2207
195	2406
195	2434
195	2508
195	2584
196	2136
197	2249
197	2279
197	2522
197	2587
198	2345
198	2502
198	2576
198	2602
199	2149
199	2179
199	2224
199	2350
199	2543
200	2104
200	2108
200	2214
200	2233
200	2269
200	2303
200	2390
200	2440
200	2514
200	2553
201	2072
201	2297
201	2315
201	2359
201	2375
201	2382
201	2401
202	1145
202	2083
202	2258
203	2091
203	2097
203	2278
203	2285
203	2616
203	2623
204	1507
204	2044
204	2075
204	2605
204	2953
205	1496
205	1515
205	1527
205	2068
205	2170
205	2331
205	2564
206	2049
206	2220
206	2232
206	2292
206	2323
206	2389
206	2442
206	2527
206	2559
207	1489
207	2122
207	2298
207	2306
207	2379
207	2423
207	2431
207	2507
207	2598
208	1482
208	1535
208	2091
208	2147
208	2268
208	2277
208	2317
208	2371
208	2402
208	2468
208	2610
209	1545
209	2545
210	1474
210	2183
210	2193
210	2212
210	2249
210	2283
210	2616
210	2626
211	1524
211	1553
211	2061
211	2115
211	2201
211	2242
211	2326
211	2509
212	1530
212	2004
212	2030
212	2101
212	2167
212	2437
